,Opening,Notation
194,Ruy Lopez (Spanish) Other 6th moves,"1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Bxc6, Qe2, d4, d3, Nc3"
195,Ruy Lopez (Spanish) Anti-Marshall,"1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 O-O 8.a4, h3, d4, d3"
196,Ruy Lopez (Spanish) Marshall Attack,1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 O-O 8.c3 d5
197,Ruy Lopez (Spanish) Other 9th moves,"1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 d6 8.c3 O-O 9.d4, d3, a4"
198,"Ruy Lopez (Spanish) Karpov, Smyslov and Kholmov","1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 d6 8.c3 O-O 9.h3 Nd7, h6, Be6"
199,"Ruy Lopez (Spanish), Breyer",1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 d6 8.c3 O-O 9.h3 Nb8
200,Ruy Lopez (Spanish) Flohr-Zaitsev,1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 d6 8.c3 O-O 9.h3 Bb7
201,Ruy Lopez (Spanish) Chigorin (Main Line),1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Be7 6. Re1 b5 7. Bb3 d6 8.c3 O-O 9.h3 Na5 10. Bc2 c5 11.d4
202,"English, 1...b6",1.c4 b6
203,"English, 1...f5",1.c4 f5
204,"English, 1...c6",1.c4 c6
205,"English, 1...g6",1.c4 g6
206,"English, Symmetrical Double Fianchetto",1.c4 c5 2. Nf3 Nf6 3.g3 b6 4. Bg2 Bb7 5.O-O g6
207,"English, Symmetrical, Hedgehog",1.c4 c5 2. Nf3 Nf6 3.g3 b6 4. Bg2 Bb7 5.O-O e6
208,"English, Symmetrical, 3.d4",1.c4 c5 2. Nf3 Nf6 3.d4
209,"English, Symmetrical Other Black 3rd moves","1.c4 c5 2. Nc3 Nf6 3. Nf3 e6, d5, g6, b6"
210,"English, Symmetrical Four Knights",1.c4 c5 2. Nc3 Nf6 3. Nf3 Nc6
211,"English, Symmetrical, Main Line",1.c4 c5 2. Nc3 Nc6 3.g3 g6 4. Bg2 Bg7
212,"English, Symmetrical 1...e6, 2. f3 d5",1.c4 e6 2. Nf3 d5
213,"English, Symmetrical 1...e6, 2. c3 d5",1.c4 e6 2. Nc3 d5
214,"English, Flohr-Mikenas",1.c4 e6 2. Nc3 Nf6 3.e4
215,"English, 1...e6, Main Line",1.c4 e6 2. Nc3 Nf6 3. Nf3
216,"English, Sicilian Reversed, 2.g3",1.c4 e5 2.g3
217,"English, Sicilian Reversed Other Black 2nd moves","1.c4 e5 2. Nc3 d6, Bb4"
218,"English, Sicilian Reversed Four Knights",1.c4 e5 2. Nc3 Nf6 3. Nf3 Nc6
219,"English, Sicilian Reversed Bremen",1.c4 e5 2. Nc3 Nf6 3.g3
220,"English, Sicilian Reversed Closed",1.c4 e5 2. Nc3 Nc6
221,"English, 1... f6, 2.g3",1.c4 Nf6 2.g3
222,"English, 1... f6, 2. f3 Anglo-Indian",1.c4 Nf6 2. Nf3 g6 3.g3 Bg7 4. Bg2 O-O
223,"English, 1... f6, 2. c3 Anglo-Indian",1.c4 Nf6 2. Nc3 g6
224,"Reti, 2.b3",1. Nf3 d5 2.b3
225,"Reti, 2.c4",1. Nf3 d5 2.c4
226,"Reti, King's Indian Attack",1. Nf3 d5 2.g3
227,Bird,1.f4
228,Nimzowitsch-Larsen,1.b3
229,Sokolsky,1.b4
230,Dunst,1. Nc3
